date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo,away_elo
1979-06-24,Morocco,Togo,7.0,0.0,African Cup of Nations qualification,Mohammedia,Morocco,False,1698.9747033586473,1492.0650446378252
1979-06-26,Malawi,Lesotho,1.0,2.0,Friendly,Blantyre,Malawi,False,1535.2834350699436,1341.1549393355215
1979-06-27,Denmark,Russia,1.0,2.0,Friendly,Copenhagen,Denmark,False,1559.3416281693771,1817.6182604362916
1979-06-28,Sweden,Norway,2.0,0.0,Nordic Championship,Gothenburg,Sweden,False,1618.6579774841916,1377.3217037637594
1979-06-29,Malaysia,Japan,1.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False,1568.332344308073,1543.5533305612134
1979-06-29,Fiji,New Zealand,0.0,6.0,Friendly,Suva,Fiji,False,1413.9404219640508,1628.836423388492
1979-06-29,Japan,Thailand,2.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1548.3389941169225,1462.992114791863
1979-06-29,Malaysia,Myanmar,4.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False,1563.546680752364,1519.1736219669654
1979-06-29,Sudan,Ivory Coast,2.0,0.0,African Cup of Nations qualification,Khartoum,Sudan,False,1618.1020740439128,1580.3527667590245
1979-06-30,Kenya,Egypt,3.0,1.0,African Cup of Nations qualification,Nairobi,Kenya,False,1437.377519403236,1745.5363406101496
1979-06-30,DR Congo,Zambia,1.0,2.0,Friendly,Lubumbashi,Zaïre,False,1633.1829751026798,1739.921222702561
1979-06-30,Indonesia,Singapore,0.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1366.3551118329458,1337.5369026253234
1979-07-01,Myanmar,Japan,0.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1496.5076252115625,1571.1142909217137
1979-07-01,Fiji,New Zealand,0.0,3.0,Friendly,Lautoka,Fiji,False,1401.1465942451764,1641.6302511073663
1979-07-01,Malaysia,Thailand,4.0,2.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False,1586.2126775077668,1440.2168179870719
1979-07-03,Myanmar,Thailand,2.0,0.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1480.7375139886651,1426.1762418957553
1979-07-04,Malaysia,Indonesia,1.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,False,1600.2532535990833,1364.6999963247915
1979-07-04,Finland,Russia,1.0,1.0,UEFA Euro qualification,Helsinki,Finland,False,1386.3855822701287,1822.4596312576705
1979-07-05,Singapore,Thailand,1.0,1.0,Merdeka Tournament,Kuala Lumpur,Malaysia,True,1339.1920181334776,1400.849090613136
1979-07-06,Ivory Coast,Sudan,4.0,0.0,African Cup of Nations qualification,Abidjan,Ivory Coast,False,1558.5772536884324,1639.8775871145049
1979-07-06,Togo,Morocco,2.0,1.0,African Cup of Nations qualification,Lomé,Togo,False,1475.0681360445528,1715.9716119519196
1979-07-06,Malawi,Kenya,1.0,0.0,Friendly,Blantyre,Malawi,False,1519.0439759978292,1485.7777279805578
